instance 331	density: 0.00184	numEdges: 460
instance 332	density: 0.59796	numEdges: 82748
instance 333	density: 0.49773	numEdges: 44796
instance 334	density: 0.04810	numEdges: 480
instance 335	density: 0.24306	numEdges: 35
instance 336	density: 0.49693	numEdges: 44724
instance 337	density: 0.14815	numEdges: 12
instance 338	density: 0.54148	numEdges: 135370
instance 339	density: 0.03750	numEdges: 15
instance 340	density: 0.00349	numEdges: 27
instance 341	density: 0.87312	numEdges: 218281
instance 342	density: 0.87257	numEdges: 218143
instance 343	density: 0.89934	numEdges: 224834
instance 344	density: 0.79880	numEdges: 199700
instance 345	density: 0.00575	numEdges: 1436
instance 346	density: 0.00016	numEdges: 36
instance 347	density: 0.17268	numEdges: 9134
instance 348	density: 0.22222	numEdges: 8
instance 349	density: 0.00680	numEdges: 68
instance 350	density: 0.49872	numEdges: 124681
instance 351	density: 0.03988	numEdges: 7238
instance 352	density: 0.49840	numEdges: 122613
instance 353	density: 0.02821	numEdges: 4514
instance 354	density: 0.29891	numEdges: 74727
instance 355	density: 0.00483	numEdges: 207
instance 356	density: 0.49781	numEdges: 110435
instance 357	density: 0.02264	numEdges: 5659
instance 358	density: 0.00360	numEdges: 81
instance 359	density: 0.24954	numEdges: 15596
instance 360	density: 0.21520	numEdges: 2152
instance 361	density: 0.00720	numEdges: 72
instance 362	density: 0.00240	numEdges: 600
instance 363	density: 0.35182	numEdges: 87955
instance 364	density: 0.00250	numEdges: 625
instance 365	density: 0.80000	numEdges: 20
instance 366	density: 0.10010	numEdges: 25024
instance 367	density: 0.00240	numEdges: 599
instance 368	density: 0.18120	numEdges: 453
instance 369	density: 0.41400	numEdges: 103500
instance 370	density: 0.47580	numEdges: 4758
instance 371	density: 0.10714	numEdges: 21
instance 372	density: 0.30044	numEdges: 75109
instance 373	density: 0.51444	numEdges: 463
instance 374	density: 0.50013	numEdges: 77637
instance 375	density: 0.42418	numEdges: 106044
instance 376	density: 0.99800	numEdges: 249500
instance 377	density: 0.01110	numEdges: 111
instance 378	density: 0.06591	numEdges: 14559
instance 379	density: 0.49834	numEdges: 124586
instance 380	density: 0.25610	numEdges: 2561
instance 381	density: 0.02907	numEdges: 7239
instance 382	density: 0.00216	numEdges: 345
instance 383	density: 0.00000	numEdges: 0
instance 384	density: 0.49925	numEdges: 124812
instance 385	density: 0.99800	numEdges: 249500
instance 386	density: 0.00992	numEdges: 397
instance 387	density: 0.08000	numEdges: 18
instance 388	density: 0.74602	numEdges: 62308
instance 389	density: 0.19000	numEdges: 19
instance 390	density: 0.50078	numEdges: 125196
instance 391	density: 0.04376	numEdges: 10940
instance 392	density: 0.00257	numEdges: 642
instance 393	density: 0.20036	numEdges: 50090
instance 394	density: 0.35840	numEdges: 14335
instance 395	density: 0.49892	numEdges: 124729
instance 396	density: 0.49800	numEdges: 43633
instance 397	density: 0.50026	numEdges: 125064
instance 398	density: 0.49752	numEdges: 124379
instance 399	density: 0.00281	numEdges: 450
instance 400	density: 0.01813	numEdges: 4514
instance 401	density: 0.31250	numEdges: 5
instance 402	density: 0.59939	numEdges: 87008
instance 403	density: 0.06737	numEdges: 16843
instance 404	density: 0.25196	numEdges: 40313
instance 405	density: 0.01991	numEdges: 112
instance 406	density: 0.00027	numEdges: 60
instance 407	density: 0.60129	numEdges: 13529
instance 408	density: 0.19972	numEdges: 49929
instance 409	density: 0.41400	numEdges: 103500
instance 410	density: 0.50000	numEdges: 2
instance 411	density: 0.00412	numEdges: 371
instance 412	density: 0.29936	numEdges: 74840
instance 413	density: 0.49844	numEdges: 124609
instance 414	density: 0.01389	numEdges: 3473
instance 415	density: 0.86210	numEdges: 215525
instance 416	density: 0.99785	numEdges: 215760
instance 417	density: 0.11570	numEdges: 14
instance 418	density: 0.14797	numEdges: 36992
instance 419	density: 0.06750	numEdges: 675
instance 420	density: 0.00577	numEdges: 1443
instance 421	density: 0.39565	numEdges: 13395
instance 422	density: 0.01087	numEdges: 2718
instance 423	density: 0.37500	numEdges: 6
instance 424	density: 0.10059	numEdges: 25147
instance 425	density: 0.11806	numEdges: 17
instance 426	density: 0.20069	numEdges: 50172
instance 427	density: 0.25000	numEdges: 9
instance 428	density: 0.49931	numEdges: 79889
instance 429	density: 0.49833	numEdges: 44850
instance 430	density: 0.09902	numEdges: 24756
instance 431	density: 0.11704	numEdges: 29259
instance 432	density: 0.12534	numEdges: 20055
instance 433	density: 0.04376	numEdges: 10940
instance 434	density: 0.00270	numEdges: 674
instance 435	density: 0.32000	numEdges: 8
instance 436	density: 0.04408	numEdges: 54
instance 437	density: 0.16551	numEdges: 39253
instance 438	density: 0.01870	numEdges: 187
instance 439	density: 0.16327	numEdges: 8
instance 440	density: 0.02370	numEdges: 5923
instance 441	density: 0.49828	numEdges: 19931
instance 442	density: 0.49827	numEdges: 124568
instance 443	density: 0.49896	numEdges: 124241
instance 444	density: 0.01200	numEdges: 120
instance 445	density: 0.04990	numEdges: 499
instance 446	density: 0.00899	numEdges: 2230
instance 447	density: 0.99000	numEdges: 9900
instance 448	density: 0.00451	numEdges: 1040
instance 449	density: 0.00235	numEdges: 588
instance 450	density: 0.79812	numEdges: 199529
instance 451	density: 0.05522	numEdges: 6765
instance 452	density: 0.99800	numEdges: 249500
instance 453	density: 0.10160	numEdges: 1016
instance 454	density: 0.00359	numEdges: 898
instance 455	density: 0.09904	numEdges: 24760
instance 456	density: 0.00350	numEdges: 875
instance 457	density: 0.50590	numEdges: 5059
instance 458	density: 0.84850	numEdges: 212126
instance 459	density: 0.01038	numEdges: 2594
instance 460	density: 0.19480	numEdges: 487
instance 461	density: 0.49982	numEdges: 124955
instance 462	density: 0.01388	numEdges: 3471
instance 463	density: 0.49773	numEdges: 124432
instance 464	density: 0.00040	numEdges: 4
instance 465	density: 0.49900	numEdges: 124751
instance 466	density: 0.00248	numEdges: 619
instance 467	density: 0.00549	numEdges: 182
instance 468	density: 0.10720	numEdges: 1072
instance 469	density: 0.01568	numEdges: 1411
instance 470	density: 0.49900	numEdges: 124750
instance 471	density: 0.33333	numEdges: 3
instance 472	density: 0.08358	numEdges: 20894
instance 473	density: 0.99800	numEdges: 249500
instance 474	density: 0.01250	numEdges: 500
instance 475	density: 0.68830	numEdges: 27532
instance 476	density: 0.00546	numEdges: 340
instance 477	density: 0.49610	numEdges: 4961
instance 478	density: 0.14050	numEdges: 17
instance 479	density: 0.00230	numEdges: 576
instance 480	density: 0.50010	numEdges: 61262
instance 481	density: 0.31944	numEdges: 46
instance 482	density: 0.01512	numEdges: 605
instance 483	density: 0.01125	numEdges: 117
instance 484	density: 0.49760	numEdges: 124399
instance 485	density: 0.16667	numEdges: 6
instance 486	density: 0.00000	numEdges: 0
instance 487	density: 0.00210	numEdges: 525
instance 488	density: 0.99800	numEdges: 249500
instance 489	density: 0.00257	numEdges: 642
instance 490	density: 0.00423	numEdges: 902
instance 491	density: 0.00640	numEdges: 1575
instance 492	density: 0.49260	numEdges: 4926
